data;
set CIUDADES := 0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51;
set CIUDADES_SO := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51;

param N := 51; 


param C: 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51 :=
34	3221.98	2090.87	1760.44	2394.44	1586.85	1264.66	1894.46	1436.00	1433.60	1944.29	1776.87	1009.60	1880.23	2016.76	1033.67	1620.24	1260.80	2094.28	1694.58	1339.75	1230.80	748.49	2149.56	851.46	1450.95	1289.73	1236.66	344.82	293.71	284.95	490.41	1034.05	2135.62	321.09	0.00	1450.08	357.48	933.04	462.05	1874.93	414.54	1724.76	956.87	2503.57	1678.54	1433.90	1785.57	1154.47	1822.95	1235.55	1889.44	3040.51
35	2137.01	1888.85	2736.01	1600.23	2761.58	2291.81	1216.72	1318.27	1318.38	1139.24	1097.70	1815.24	1064.28	1074.87	1381.79	953.31	1119.41	946.20	828.06	803.02	834.35	1138.82	810.39	1001.11	545.13	532.31	556.07	1368.37	1656.33	1675.99	1082.00	517.82	689.79	1161.04	1450.08	0.00	1095.21	517.26	1828.42	476.34	1704.06	393.68	672.42	1152.13	562.04	811.45	835.64	1063.93	916.36	1977.16	2772.69	2901.17
36	2950.76	1983.91	1978.06	2166.36	1864.74	1482.33	1667.57	1298.87	1296.85	1695.11	1541.88	1126.23	1625.42	1745.69	979.89	1375.01	1092.19	1790.59	1418.64	1087.27	990.58	630.82	1816.38	670.37	1146.96	986.65	937.13	430.91	605.69	613.44	319.28	710.48	1782.87	173.27	357.48	1095.21	0.00	578.00	755.69	1517.61	654.07	1368.55	622.31	2150.37	1332.78	1126.64	1459.48	913.82	1503.60	1278.84	2017.47	2909.44
37	2492.28	1852.15	2342.58	1804.86	2314.66	1871.02	1336.29	1185.39	1184.41	1316.65	1204.34	1424.76	1239.97	1319.52	1074.07	1032.08	957.75	1296.30	1002.92	769.89	724.63	753.32	1265.33	660.60	688.39	552.79	523.70	879.28	1148.56	1165.59	603.15	279.48	1205.24	651.83	933.04	517.26	578.00	0.00	1318.27	954.76	1199.63	819.24	356.01	1610.46	844.73	811.19	1042.36	838.79	1106.42	1597.84	2388.79	2862.29
38	3680.81	2524.69	1914.87	2856.40	1641.19	1449.93	2356.49	1886.22	1883.74	2405.47	2238.80	1334.84	2340.73	2474.60	1464.02	2081.44	1719.02	2540.27	2150.66	1799.60	1691.78	1204.94	2571.35	1313.19	1895.62	1734.36	1682.80	780.28	543.82	501.84	951.43	1464.99	2517.98	774.88	462.05	1828.42	755.69	1318.27	0.00	2212.96	148.02	2050.67	1240.13	2798.09	1956.06	1630.28	2005.96	1267.15	2026.61	966.74	1496.58	2901.09
39	2133.45	2244.62	3210.85	1796.42	3236.61	2768.14	1513.17	1740.74	1741.24	1400.27	1414.81	2290.95	1335.65	1285.29	1849.98	1303.84	1559.90	1059.48	1135.01	1222.94	1276.10	1615.16	772.39	1476.51	931.04	970.92	1005.67	1829.09	2102.93	2118.90	1545.69	994.14	433.56	1606.38	1874.93	476.34	1517.61	954.76	2212.96	0.00	2077.97	172.81	980.87	675.88	403.68	837.96	640.23	1216.50	715.78	2186.70	2962.08	2747.25
40	3599.79	2504.69	2005.99	2792.97	1753.35	1529.53	2292.30	1849.91	1847.54	2332.89	2171.25	1368.51	2265.85	2393.32	1445.93	2009.67	1670.73	2444.66	2067.28	1724.46	1620.39	1160.97	2460.27	1255.41	1800.94	1640.42	1590.39	755.67	575.99	538.84	885.69	1363.64	2392.40	701.40	414.54	1704.06	654.07	1199.63	148.02	2077.97	0.00	1914.02	1101.27	2655.69	1813.26	1482.86	1859.00	1119.39	1879.04	885.15	1482.13	2791.37
41	2261.00	2249.30	3117.33	1863.89	3123.10	2663.79	1540.64	1705.62	1705.86	1440.52	1432.66	2194.79	1371.13	1342.33	1772.52	1305.68	1511.28	1143.69	1153.35	1187.49	1225.90	1514.56	890.89	1383.96	910.72	921.61	948.48	1698.39	1961.58	1975.54	1419.21	896.52	589.97	1466.69	1724.76	393.68	1368.55	819.24	2050.67	172.81	1914.02	0.00	814.09	791.33	262.00	676.23	529.74	1045.93	610.37	2015.10	2792.47	2645.84
42	2778.98	2206.83	2563.38	2139.34	2480.33	2074.88	1682.34	1535.11	1534.01	1652.30	1550.80	1668.14	1574.89	1638.68	1380.01	1379.96	1306.92	1576.84	1333.37	1124.32	1080.52	1034.36	1481.65	973.72	1013.57	893.85	871.15	1028.89	1226.12	1230.64	802.85	634.50	1329.23	766.27	956.87	672.42	622.31	356.01	1240.13	980.87	1101.27	814.09	0.00	1562.26	725.45	522.04	837.35	483.06	883.56	1310.32	2106.79	2511.89
43	2313.80	2817.61	3886.09	2233.73	3909.94	3443.75	2060.59	2379.78	2380.57	1925.94	1984.26	2966.73	1874.64	1778.88	2521.34	1903.56	2214.05	1500.24	1715.73	1869.72	1934.43	2290.90	1145.65	2152.24	1570.60	1632.73	1671.59	2489.69	2748.94	2761.31	2210.23	1669.80	756.37	2255.81	2503.57	1152.13	2150.37	1610.46	2798.09	675.88	2655.69	791.33	1562.26	0.00	842.55	1229.38	868.75	1645.59	893.75	2590.43	3310.01	2637.23
44	2522.53	2450.78	3185.96	2111.93	3154.23	2715.71	1765.79	1870.17	1870.09	1675.15	1651.53	2265.74	1603.23	1587.29	1879.46	1512.97	1662.35	1400.68	1375.99	1360.46	1380.78	1587.62	1152.75	1473.97	1106.57	1086.86	1103.26	1705.73	1937.93	1946.14	1442.12	995.31	837.04	1455.83	1678.54	562.04	1332.78	844.73	1956.06	403.68	1813.26	262.00	725.45	842.55	0.00	443.09	279.71	843.58	361.67	1814.17	2577.14	2389.03
45	2911.51	2620.90	3084.90	2410.78	2991.36	2595.18	2007.48	1979.35	1978.65	1943.15	1882.00	2189.42	1866.83	1886.11	1881.04	1723.35	1754.99	1745.48	1625.59	1511.42	1497.07	1545.28	1544.85	1468.67	1318.48	1246.09	1242.75	1545.66	1717.66	1716.62	1324.81	1054.49	1266.05	1281.24	1433.90	811.45	1126.64	811.19	1630.28	837.96	1482.86	676.23	522.04	1229.38	443.09	0.00	379.30	416.35	396.80	1377.28	2134.44	2104.65
46	2773.68	2723.33	3377.01	2390.04	3314.76	2896.28	2044.78	2128.94	2128.71	1954.86	1929.62	2464.45	1882.89	1866.06	2106.28	1788.74	1915.81	1673.42	1654.92	1625.64	1638.21	1795.62	1409.88	1694.91	1380.71	1351.39	1363.52	1861.25	2061.56	2064.19	1616.02	1231.19	1065.63	1601.29	1785.57	835.64	1459.48	1042.36	2005.96	640.23	1859.00	529.74	837.35	868.75	279.71	379.30	0.00	787.14	81.96	1721.70	2450.41	2116.37
47	3200.92	2686.45	2887.07	2608.02	2740.91	2389.75	2160.56	2009.48	2008.25	2123.51	2029.51	2036.54	2045.93	2097.83	1815.10	1859.80	1781.45	2006.25	1802.77	1607.25	1562.71	1458.75	1858.96	1423.82	1482.86	1372.05	1352.02	1343.78	1447.96	1438.16	1183.65	1117.56	1628.43	1085.54	1154.47	1063.93	913.82	838.79	1267.15	1216.50	1119.39	1045.93	483.06	1645.59	843.58	416.35	787.14	0.00	787.87	971.87	1747.04	2045.81
48	2848.57	2803.25	3434.46	2471.68	3363.80	2951.29	2126.50	2205.40	2205.13	2036.81	2011.10	2524.86	1964.81	1947.85	2174.53	1869.62	1991.04	1753.91	1736.63	1703.96	1714.63	1859.51	1487.03	1762.26	1461.28	1429.73	1440.87	1911.36	2102.52	2103.63	1671.68	1303.16	1137.33	1649.66	1822.95	916.36	1503.60	1106.42	2026.61	715.78	1879.04	610.37	883.56	893.75	361.67	396.80	81.96	787.87	0.00	1701.32	2417.10	2036.61
49	4083.97	3262.17	2881.54	3388.34	2597.64	2412.26	2901.59	2577.67	2575.67	2902.43	2770.99	2238.78	2827.33	2916.50	2235.79	2598.45	2368.46	2882.42	2596.19	2315.13	2234.71	1902.59	2787.36	1948.56	2285.65	2143.09	2106.16	1570.60	1456.10	1421.24	1592.36	1853.35	2590.84	1413.96	1235.55	1977.16	1278.84	1597.84	966.74	2186.70	885.15	2015.10	1310.32	2590.43	1814.17	1377.28	1721.70	971.87	1701.32	0.00	796.47	1963.05
50	4878.61	3975.00	3309.75	4165.35	2952.34	2892.62	3672.78	3303.78	3301.57	3682.45	3543.68	2831.09	3608.44	3704.21	2922.52	3372.43	3106.43	3677.72	3381.36	3086.19	2999.02	2615.18	3582.49	2683.32	3074.61	2928.58	2889.36	2234.11	2039.72	1998.19	2314.76	2637.41	3374.98	2128.72	1889.44	2772.69	2017.47	2388.79	1496.58	2962.08	1482.13	2792.47	2106.79	3310.01	2577.14	2134.44	2450.41	1747.04	2417.10	796.47	0.00	1994.21
51	4865.91	4711.35	4787.53	4495.25	4542.08	4298.32	4110.91	4046.72	4045.66	4040.34	3986.29	4024.64	3965.07	3968.82	3856.45	3827.92	3818.61	3789.23	3726.25	3607.89	3581.48	3498.39	3519.43	3469.58	3422.76	3347.95	3340.84	3315.94	3314.04	3288.29	3208.98	3131.82	3150.50	3081.24	3040.51	2901.17	2909.44	2862.29	2901.09	2747.25	2791.37	2645.84	2511.89	2637.23	2389.03	2104.65	2116.37	2045.81	2036.61	1963.05	1994.21	0.00
;

end;
